word,cefr_level,part_of_speech,definition
pass,A1,verb,to go by
sell,A1,verb,to exchange for money
decide,A1,verb,to make choice
return,A1,verb,to go back
explain,A1,verb,to make clear
hope,A1,verb,to wish
develop,A1,verb,to grow
carry,A1,verb,to transport
break,A1,verb,to damage
receive,A1,verb,to get
agree,A1,verb,to have same opinion
support,A1,verb,to help
hit,A1,verb,to strike
produce,A1,verb,to make
eat,A1,verb,to consume food
cover,A1,verb,to place over
catch,A1,verb,to grab
draw,A1,verb,to make picture
choose,A1,verb,to select
the,A1,article,definite article
a,A1,article,indefinite article
an,A1,article,indefinite article
and,A1,conjunction,connecting word
or,A1,conjunction,alternative
but,A1,conjunction,contrast
in,A1,preposition,inside
on,A1,preposition,on top of
at,A1,preposition,location
to,A1,preposition,direction
for,A1,preposition,purpose
with,A1,preposition,together
from,A1,preposition,origin
by,A1,preposition,beside
about,A1,preposition,concerning
into,A1,preposition,entering
through,A1,preposition,via
after,A1,preposition,following
before,A1,preposition,earlier than
between,A1,preposition,in the middle
under,A1,preposition,below
above,A1,preposition,over
important,A2,adjective,having great value
different,A2,adjective,not the same
possible,A2,adjective,able to happen
available,A2,adjective,able to be used
similar,A2,adjective,alike
difficult,A2,adjective,hard to do
interested,A2,adjective,wanting to know
comfortable,A2,adjective,giving ease
exciting,A2,adjective,causing excitement
boring,A2,adjective,not interesting
amazing,A2,adjective,very surprising
terrible,A2,adjective,very bad
wonderful,A2,adjective,very good
beautiful,A2,adjective,pleasing to look at
expensive,A2,adjective,costing a lot
cheap,A2,adjective,low in price
convenient,A2,adjective,suitable
dangerous,A2,adjective,likely to cause harm
safe,A2,adjective,protected from danger
clean,A2,adjective,free from dirt
dirty,A2,adjective,not clean
quiet,A2,adjective,with little sound
loud,A2,adjective,with much sound
busy,A2,adjective,having much to do
empty,A2,adjective,containing nothing
full,A2,adjective,containing as much as possible
fast,A2,adjective,quick
slow,A2,adjective,not fast
easy,A2,adjective,not difficult
hard,A2,adjective,difficult
activity,A2,noun,something done
advice,A2,noun,suggestion
airport,A2,noun,place for planes
answer,A2,noun,response
apartment,A2,noun,living space
article,A2,noun,piece of writing
attention,A2,noun,notice
bank,A2,noun,financial institution
beach,A2,noun,sandy shore
bicycle,A2,noun,two-wheeled vehicle
boss,A2,noun,manager
business,A2,noun,commercial activity
camera,A2,noun,device for photos
career,A2,noun,profession
center,A2,noun,middle point
chance,A2,noun,opportunity
character,A2,noun,person in story
choice,A2,noun,option
church,A2,noun,religious building
city,A2,noun,large town
climate,A2,noun,weather conditions
clothes,A2,noun,garments
club,A2,noun,organization
coffee,A2,noun,hot drink
college,A2,noun,educational institution
company,A2,noun,business
computer,A2,noun,electronic device
concert,A2,noun,musical performance
conversation,A2,noun,talk
country,A2,noun,nation
course,A2,noun,series of lessons
culture,A2,noun,customs and arts
customer,A2,noun,buyer
dance,A2,noun,rhythmic movement
daughter,A2,noun,female child
decision,A2,noun,choice made
difference,A2,noun,distinction
dinner,A2,noun,evening meal
direction,A2,noun,way to go
doctor,A2,noun,medical professional
dream,A2,noun,sleeping vision
education,A2,noun,learning process
email,A2,noun,electronic message
energy,A2,noun,power
environment,A2,noun,surroundings
equipment,A2,noun,tools
event,A2,noun,happening
exam,A2,noun,test
example,A2,noun,instance
exercise,A2,noun,physical activity
experience,A2,noun,knowledge from doing
fact,A2,noun,truth
factory,A2,noun,production building
feeling,A2,noun,emotion
festival,A2,noun,celebration
film,A2,noun,movie
floor,A2,noun,bottom surface
forest,A2,noun,wooded area
future,A2,noun,time ahead
game,A2,noun,activity for fun
garden,A2,noun,planted area
gift,A2,noun,present
goal,A2,noun,aim
government,A2,noun,ruling body
group,A2,noun,collection
guest,A2,noun,visitor
guide,A2,noun,helper
habit,A2,noun,regular behavior
health,A2,noun,physical condition
heart,A2,noun,organ
history,A2,noun,past events
holiday,A2,noun,vacation
hospital,A2,noun,medical facility
hotel,A2,noun,accommodation
husband,A2,noun,married man
idea,A2,noun,thought
information,A2,noun,knowledge
interest,A2,noun,curiosity
internet,A2,noun,global network
interview,A2,noun,formal meeting
island,A2,noun,land surrounded by water
job,A2,noun,employment
journey,A2,noun,trip
kind,A2,noun,type
kitchen,A2,noun,cooking room
knowledge,A2,noun,understanding
language,A2,noun,communication system
law,A2,noun,rule
letter,A2,noun,written message
library,A2,noun,book collection
lifestyle,A2,noun,way of living
lunch,A2,noun,midday meal
magazine,A2,noun,periodical publication
market,A2,noun,place for buying
meal,A2,noun,food eaten
medicine,A2,noun,healing substance
member,A2,noun,part of group
memory,A2,noun,recollection
message,A2,noun,communication
method,A2,noun,way of doing
mistake,A2,noun,error
model,A2,noun,example
moment,A2,noun,brief time
money,A2,noun,currency
mountain,A2,noun,high land
movie,A2,noun,film
museum,A2,noun,exhibition building
music,A2,noun,organized sound
nature,A2,noun,natural world
neighbor,A2,noun,nearby person
news,A2,noun,current information
newspaper,A2,noun,daily publication
noise,A2,noun,sound
note,A2,noun,written record
number,A2,noun,numeral
office,A2,noun,work room
opinion,A2,noun,belief
option,A2,noun,choice
order,A2,noun,request
organization,A2,noun,structured group
owner,A2,noun,possessor
page,A2,noun,sheet of paper
paint,A2,noun,coloring substance
paper,A2,noun,thin sheet
parent,A2,noun,mother or father
park,A2,noun,public garden
part,A2,noun,piece
party,A2,noun,social gathering
patient,A2,noun,sick person
pattern,A2,noun,design
peace,A2,noun,calm
period,A2,noun,time span
phone,A2,noun,telephone
photo,A2,noun,photograph
picture,A2,noun,image
piece,A2,noun,part
plan,A2,noun,scheme
plane,A2,noun,aircraft
planet,A2,noun,celestial body
plant,A2,noun,living organism
police,A2,noun,law enforcement
pollution,A2,noun,contamination
population,A2,noun,inhabitants
position,A2,noun,location
practice,A2,noun,repeated exercise
president,A2,noun,leader
price,A2,noun,cost
problem,A2,noun,difficulty
product,A2,noun,item
program,A2,noun,plan
project,A2,noun,undertaking
public,A2,noun,people in general
quality,A2,noun,standard
question,A2,noun,inquiry
radio,A2,noun,broadcast device
rain,A2,noun,water from sky
reason,A2,noun,cause
relationship,A2,noun,connection
report,A2,noun,account
research,A2,noun,study
resource,A2,noun,supply
respect,A2,noun,admiration
restaurant,A2,noun,eating place
result,A2,noun,outcome
river,A2,noun,water flow
road,A2,noun,path
rock,A2,noun,stone
role,A2,noun,function
room,A2,noun,space
rule,A2,noun,regulation
schedule,A2,noun,timetable
science,A2,noun,systematic study
sea,A2,noun,ocean
season,A2,noun,time of year
seat,A2,noun,place to sit
section,A2,noun,part
service,A2,noun,assistance
shop,A2,noun,store
sign,A2,noun,symbol
site,A2,noun,location
situation,A2,noun,circumstance
size,A2,noun,dimension
skill,A2,noun,ability
sky,A2,noun,space above
society,A2,noun,community
son,A2,noun,male child
song,A2,noun,musical composition
sound,A2,noun,audible vibration
space,A2,noun,area
sport,A2,noun,physical game
staff,A2,noun,employees
stage,A2,noun,platform
star,A2,noun,celestial body
station,A2,noun,stopping place
step,A2,noun,movement
store,A2,noun,shop
story,A2,noun,narrative
street,A2,noun,road
structure,A2,noun,arrangement
style,A2,noun,manner
subject,A2,noun,topic
success,A2,noun,achievement
summer,A2,noun,warm season
sun,A2,noun,star
surface,A2,noun,outer layer
system,A2,noun,organized scheme
task,A2,noun,job
taste,A2,noun,flavor sense
tax,A2,noun,levy
team,A2,noun,group
technology,A2,noun,applied science
telephone,A2,noun,communication device
television,A2,noun,broadcast receiver
temperature,A2,noun,heat level
text,A2,noun,written words
theater,A2,noun,performance venue
theory,A2,noun,explanation
ticket,A2,noun,pass
title,A2,noun,name
topic,A2,noun,subject
tour,A2,noun,journey
town,A2,noun,small city
trade,A2,noun,commerce
tradition,A2,noun,custom
traffic,A2,noun,vehicles
training,A2,noun,instruction
travel,A2,noun,journey
tree,A2,noun,woody plant
trip,A2,noun,journey
trouble,A2,noun,difficulty
university,A2,noun,higher education
vacation,A2,noun,holiday
valley,A2,noun,low area
value,A2,noun,worth
variety,A2,noun,assortment
vehicle,A2,noun,transport
video,A2,noun,moving image
view,A2,noun,sight
village,A2,noun,small town
visit,A2,noun,call
voice,A2,noun,sound
war,A2,noun,conflict
waste,A2,noun,refuse
way,A2,noun,method
weather,A2,noun,atmospheric condition
website,A2,noun,internet site
wife,A2,noun,married woman
winter,A2,noun,cold season
wood,A2,noun,tree material
world,A2,noun,earth
accept,A2,verb,to receive
achieve,A2,verb,to accomplish
add,A2,verb,to put with
admit,A2,verb,to confess
affect,A2,verb,to influence
afford,A2,verb,to have money for
allow,A2,verb,to permit
announce,A2,verb,to declare
apply,A2,verb,to request
approach,A2,verb,to come near
argue,A2,verb,to disagree
arrange,A2,verb,to organize
arrive,A2,verb,to reach
attack,A2,verb,to assault
attempt,A2,verb,to try
attend,A2,verb,to be present
attract,A2,verb,to draw interest
avoid,A2,verb,to stay away from
base,A2,verb,to found on
beat,A2,verb,to defeat
belong,A2,verb,to be owned by
benefit,A2,verb,to help
borrow,A2,verb,to use temporarily
cause,A2,verb,to make happen
celebrate,A2,verb,to mark occasion
challenge,A2,verb,to test
check,A2,verb,to verify
claim,A2,verb,to assert
close,A2,verb,to shut
collect,A2,verb,to gather
combine,A2,verb,to unite
compare,A2,verb,to examine similarities
complain,A2,verb,to express dissatisfaction
complete,A2,verb,to finish
concern,A2,verb,to relate to
confirm,A2,verb,to verify
connect,A2,verb,to join
contain,A2,verb,to hold
control,A2,verb,to direct
cook,A2,verb,to prepare food
copy,A2,verb,to duplicate
cost,A2,verb,to require payment
count,A2,verb,to enumerate
cry,A2,verb,to weep
damage,A2,verb,to harm
deal,A2,verb,to handle
deliver,A2,verb,to bring
depend,A2,verb,to rely
describe,A2,verb,to tell about
design,A2,verb,to plan
destroy,A2,verb,to ruin
develop,A2,verb,to grow
discover,A2,verb,to find
discuss,A2,verb,to talk about
divide,A2,verb,to separate
drop,A2,verb,to let fall
earn,A2,verb,to gain
encourage,A2,verb,to support
enjoy,A2,verb,to take pleasure
enter,A2,verb,to go into
examine,A2,verb,to inspect
exist,A2,verb,to be
experience,A2,verb,to undergo
express,A2,verb,to convey
face,A2,verb,to confront
fail,A2,verb,to not succeed
fill,A2,verb,to make full
finish,A2,verb,to complete
fit,A2,verb,to be right size
fix,A2,verb,to repair
fly,A2,verb,to move through air
focus,A2,verb,to concentrate
forget,A2,verb,to not remember
form,A2,verb,to create
gain,A2,verb,to obtain
gather,A2,verb,to collect
guess,A2,verb,to estimate
handle,A2,verb,to manage
hang,A2,verb,to suspend
hate,A2,verb,to dislike strongly
hide,A2,verb,to conceal
hold,A2,verb,to grasp
hurt,A2,verb,to cause pain
identify,A2,verb,to recognize
ignore,A2,verb,to disregard
imagine,A2,verb,to visualize
improve,A2,verb,to make better
increase,A2,verb,to make larger
influence,A2,verb,to affect
inform,A2,verb,to tell
intend,A2,verb,to plan
introduce,A2,verb,to present
invent,A2,verb,to create
invite,A2,verb,to request presence
involve,A2,verb,to include
join,A2,verb,to connect
jump,A2,verb,to leap
kick,A2,verb,to strike with foot
knock,A2,verb,to strike
lack,A2,verb,to be without
land,A2,verb,to arrive
last,A2,verb,to continue
laugh,A2,verb,to express amusement
lay,A2,verb,to place down
lie,A2,verb,to recline
lift,A2,verb,to raise
limit,A2,verb,to restrict
listen,A2,verb,to hear attentively
locate,A2,verb,to find
lock,A2,verb,to secure
love,A2,verb,to care deeply
maintain,A2,verb,to keep
manage,A2,verb,to control
mark,A2,verb,to indicate
marry,A2,verb,to wed
match,A2,verb,to correspond
matter,A2,verb,to be important
measure,A2,verb,to determine size
mention,A2,verb,to refer to
mind,A2,verb,to object
miss,A2,verb,to fail to hit
mix,A2,verb,to combine
notice,A2,verb,to observe
obtain,A2,verb,to get
occur,A2,verb,to happen
operate,A2,verb,to function
order,A2,verb,to request
organize,A2,verb,to arrange
own,A2,verb,to possess
pack,A2,verb,to put into container
paint,A2,verb,to color
park,A2,verb,to stop vehicle
participate,A2,verb,to take part
perform,A2,verb,to carry out
pick,A2,verb,to select
plan,A2,verb,to arrange
plant,A2,verb,to put in ground
point,A2,verb,to indicate
practice,A2,verb,to exercise
prefer,A2,verb,to like better
prepare,A2,verb,to make ready
present,A2,verb,to show
press,A2,verb,to push
prevent,A2,verb,to stop
print,A2,verb,to produce text
promise,A2,verb,to pledge
protect,A2,verb,to guard
prove,A2,verb,to demonstrate
provide,A2,verb,to supply
publish,A2,verb,to issue
pull,A2,verb,to draw
push,A2,verb,to press
realize,A2,verb,to understand
recognize,A2,verb,to identify
recommend,A2,verb,to suggest
record,A2,verb,to document
reduce,A2,verb,to decrease
refer,A2,verb,to mention
reflect,A2,verb,to show
refuse,A2,verb,to decline
regard,A2,verb,to consider
relate,A2,verb,to connect
relax,A2,verb,to rest
release,A2,verb,to free
remain,A2,verb,to stay
remove,A2,verb,to take away
rent,A2,verb,to hire
repair,A2,verb,to fix
repeat,A2,verb,to say again
replace,A2,verb,to substitute
reply,A2,verb,to answer
represent,A2,verb,to stand for
require,A2,verb,to need
respect,A2,verb,to admire
respond,A2,verb,to react
rest,A2,verb,to relax
reveal,A2,verb,to disclose
ride,A2,verb,to travel on
ring,A2,verb,to make sound
rise,A2,verb,to go up
roll,A2,verb,to turn over
save,A2,verb,to keep
search,A2,verb,to look for
select,A2,verb,to pick
separate,A2,verb,to divide
share,A2,verb,to divide among
shoot,A2,verb,to fire
shout,A2,verb,to yell
shut,A2,verb,to close
sign,A2,verb,to write name
sing,A2,verb,to make music
sleep,A2,verb,to rest
smile,A2,verb,to show happiness
sound,A2,verb,to make noise
spend,A2,verb,to use money
spread,A2,verb,to extend
stand,A2,verb,to be upright
start,A2,verb,to begin
state,A2,verb,to declare
stay,A2,verb,to remain
steal,A2,verb,to take illegally
stick,A2,verb,to adhere
store,A2,verb,to keep
stress,A2,verb,to emphasize
stretch,A2,verb,to extend
strike,A2,verb,to hit
study,A2,verb,to learn
succeed,A2,verb,to achieve
suffer,A2,verb,to undergo pain
suggest,A2,verb,to propose
supply,A2,verb,to provide
suppose,A2,verb,to assume
survive,A2,verb,to continue living
switch,A2,verb,to change
taste,A2,verb,to sample
tend,A2,verb,to be inclined
test,A2,verb,to examine
throw,A2,verb,to propel
tie,A2,verb,to fasten
touch,A2,verb,to make contact
train,A2,verb,to teach
travel,A2,verb,to journey
treat,A2,verb,to handle
trust,A2,verb,to believe
turn,A2,verb,to rotate
visit,A2,verb,to call on
vote,A2,verb,to choose
wake,A2,verb,to stop sleeping
warn,A2,verb,to alert
wash,A2,verb,to clean
waste,A2,verb,to use carelessly
wear,A2,verb,to have on body
weigh,A2,verb,to measure weight
wish,A2,verb,to desire
wonder,A2,verb,to be curious
worry,A2,verb,to be anxious
ability,B1,noun,capacity to do something
academic,B1,adjective,relating to education
accurate,B1,adjective,correct and exact
achievement,B1,noun,accomplished goal
administration,B1,noun,management
appropriate,B1,adjective,suitable
approximately,B1,adverb,about
assistance,B1,noun,help
attitude,B1,noun,way of thinking
authority,B1,noun,power
awareness,B1,noun,knowledge
background,B1,noun,personal history
behavior,B1,noun,conduct
benefit,B1,noun,advantage
broad,B1,adjective,wide
capability,B1,noun,ability
capacity,B1,noun,capability
challenge,B1,noun,difficult task
characteristic,B1,noun,feature
citizen,B1,noun,member of state
collaboration,B1,noun,teamwork
combination,B1,noun,mixture
commitment,B1,noun,dedication
communication,B1,noun,exchange of information
community,B1,noun,group of people
comparison,B1,noun,contrast
competition,B1,noun,contest
complex,B1,adjective,complicated
component,B1,noun,part
concept,B1,noun,idea
conclusion,B1,noun,end result
condition,B1,noun,state
confidence,B1,noun,self-assurance
conflict,B1,noun,disagreement
consequence,B1,noun,result
considerable,B1,adjective,substantial
consideration,B1,noun,thought
consistent,B1,adjective,uniform
construction,B1,noun,building
contact,B1,noun,communication
contemporary,B1,adjective,modern
content,B1,noun,substance
context,B1,noun,circumstances
contract,B1,noun,agreement
contrast,B1,noun,difference
contribution,B1,noun,donation
convention,B1,noun,custom
cooperation,B1,noun,working together
corporation,B1,noun,company
creation,B1,noun,making
creativity,B1,noun,inventiveness
credit,B1,noun,recognition
crime,B1,noun,illegal act
criminal,B1,noun,lawbreaker
crisis,B1,noun,emergency
criticism,B1,noun,judgment
crucial,B1,adjective,critical
debate,B1,noun,discussion
definitely,B1,adverb,certainly
democracy,B1,noun,government by people
demonstrate,B1,verb,to show
depression,B1,noun,sadness
despite,B1,preposition,in spite of
determination,B1,noun,resolve
disability,B1,noun,impairment
disadvantage,B1,noun,drawback
discrimination,B1,noun,prejudice
distinction,B1,noun,difference
distribution,B1,noun,allocation
diversity,B1,noun,variety
dominant,B1,adjective,main
dramatic,B1,adjective,striking
economic,B1,adjective,financial
economy,B1,noun,financial system
efficiency,B1,noun,effectiveness
element,B1,noun,component
emphasis,B1,noun,stress
employment,B1,noun,work
enable,B1,verb,to allow
encounter,B1,verb,to meet
enhance,B1,verb,to improve
enormous,B1,adjective,huge
ensure,B1,verb,to guarantee
entertainment,B1,noun,amusement
entirely,B1,adverb,completely
environmental,B1,adjective,ecological
establish,B1,verb,to set up
estimate,B1,verb,to approximate
ethnic,B1,adjective,cultural
eventually,B1,adverb,finally
evidence,B1,noun,proof
evolution,B1,noun,development
exception,B1,noun,exclusion
exchange,B1,noun,swap
exclude,B1,verb,to leave out
expansion,B1,noun,growth
explanation,B1,noun,clarification
exploration,B1,noun,investigation
export,B1,noun,goods sent abroad
exposure,B1,noun,contact
extend,B1,verb,to lengthen
extension,B1,noun,enlargement
extent,B1,noun,degree
external,B1,adjective,outside
facility,B1,noun,building
factor,B1,noun,element
feature,B1,noun,characteristic
financial,B1,adjective,monetary
flexible,B1,adjective,adaptable
formal,B1,adjective,official
framework,B1,noun,structure
freedom,B1,noun,liberty
frequency,B1,noun,rate
function,B1,noun,purpose
fund,B1,noun,money
fundamental,B1,adjective,basic
furthermore,B1,adverb,moreover
generate,B1,verb,to produce
generation,B1,noun,age group
global,B1,adjective,worldwide
guarantee,B1,noun,assurance
impact,B1,noun,effect
implementation,B1,noun,execution
implication,B1,noun,consequence
import,B1,noun,goods from abroad
impose,B1,verb,to force
improvement,B1,noun,enhancement
incentive,B1,noun,motivation
incident,B1,noun,event
income,B1,noun,earnings
independence,B1,noun,freedom
indication,B1,noun,sign
individual,B1,noun,person
industrial,B1,adjective,manufacturing
industry,B1,noun,sector
infrastructure,B1,noun,basic facilities
innovation,B1,noun,new idea
instance,B1,noun,example
institution,B1,noun,organization
instruction,B1,noun,direction
instrument,B1,noun,tool
insurance,B1,noun,protection
intellectual,B1,adjective,mental
intelligence,B1,noun,intellect
intense,B1,adjective,strong
interaction,B1,noun,communication
internal,B1,adjective,inside
international,B1,adjective,global
interpretation,B1,noun,explanation
investigation,B1,noun,inquiry
investment,B1,noun,funding
issue,B1,noun,matter
justice,B1,noun,fairness
justify,B1,verb,to explain
label,B1,noun,tag
labor,B1,noun,work
layer,B1,noun,level
lecture,B1,noun,talk
legislation,B1,noun,laws
liberal,B1,adjective,open-minded
license,B1,noun,permit
link,B1,noun,connection
literature,B1,noun,written works
logic,B1,noun,reasoning
major,B1,adjective,main
manual,B1,adjective,by hand
margin,B1,noun,edge
maximum,B1,adjective,greatest
meanwhile,B1,adverb,at the same time
mechanism,B1,noun,process
media,B1,noun,communication channels
mental,B1,adjective,psychological
migration,B1,noun,movement
military,B1,adjective,armed forces
minimum,B1,adjective,least
minority,B1,noun,smaller group
mode,B1,noun,way
modification,B1,noun,change
monitor,B1,verb,to watch
motivation,B1,noun,drive
mystery,B1,noun,puzzle
negative,B1,adjective,bad
network,B1,noun,system
neutral,B1,adjective,impartial
nevertheless,B1,adverb,however
normal,B1,adjective,usual
objective,B1,noun,goal
obligation,B1,noun,duty
observation,B1,noun,watching
obvious,B1,adjective,clear
occupation,B1,noun,job
occur,B1,verb,to happen
odd,B1,adjective,strange
offset,B1,verb,to balance
ongoing,B1,adjective,continuing
outcome,B1,noun,result
output,B1,noun,production
overall,B1,adjective,total
overcome,B1,verb,to defeat
overseas,B1,adverb,abroad
parallel,B1,adjective,similar
parameter,B1,noun,limit
participation,B1,noun,involvement
partner,B1,noun,associate
partnership,B1,noun,collaboration
perception,B1,noun,understanding
period,B1,noun,time
permanent,B1,adjective,lasting
permission,B1,noun,authorization
perspective,B1,noun,viewpoint
phenomenon,B1,noun,occurrence
philosophy,B1,noun,belief system
physical,B1,adjective,bodily
policy,B1,noun,plan
political,B1,adjective,governmental
positive,B1,adjective,good
potential,B1,adjective,possible
poverty,B1,noun,lack of money
precise,B1,adjective,exact
predict,B1,verb,to forecast
previous,B1,adjective,earlier
primarily,B1,adverb,mainly
primary,B1,adjective,main
principle,B1,noun,rule
priority,B1,noun,importance
procedure,B1,noun,process
process,B1,noun,method
professional,B1,adjective,expert
profit,B1,noun,gain
progress,B1,noun,advancement
project,B1,noun,plan
promotion,B1,noun,advancement
proportion,B1,noun,ratio
prospect,B1,noun,possibility
psychological,B1,adjective,mental
publication,B1,noun,printed work
purchase,B1,noun,buying
pursue,B1,verb,to follow
range,B1,noun,variety
ratio,B1,noun,proportion
rational,B1,adjective,logical
reaction,B1,noun,response
recovery,B1,noun,restoration
reduction,B1,noun,decrease
reference,B1,noun,mention
reform,B1,noun,change
region,B1,noun,area
register,B1,verb,to record
regulation,B1,noun,rule
reinforce,B1,verb,to strengthen
reject,B1,verb,to refuse
relevant,B1,adjective,related
reliable,B1,adjective,trustworthy
reluctant,B1,adjective,unwilling
remove,B1,verb,to take away
requirement,B1,noun,necessity
resolution,B1,noun,solution
resolve,B1,verb,to solve
respond,B1,verb,to reply
response,B1,noun,answer
responsibility,B1,noun,duty
restriction,B1,noun,limitation
retain,B1,verb,to keep
revenue,B1,noun,income
reverse,B1,verb,to turn around
revolution,B1,noun,major change
role,B1,noun,function
route,B1,noun,path
scenario,B1,noun,situation
scheme,B1,noun,plan
scope,B1,noun,range
sector,B1,noun,division
seek,B1,verb,to search
sequence,B1,noun,order
series,B1,noun,sequence
shift,B1,noun,change
significant,B1,adjective,important
similar,B1,adjective,alike
site,B1,noun,location
source,B1,noun,origin
specific,B1,adjective,particular
stability,B1,noun,steadiness
stable,B1,adjective,steady
statistic,B1,noun,numerical data
status,B1,noun,position
strategy,B1,noun,plan
stress,B1,noun,pressure
structure,B1,noun,arrangement
submit,B1,verb,to present
subsequent,B1,adjective,following
substantial,B1,adjective,considerable
substitute,B1,noun,replacement
sufficient,B1,adjective,enough
sum,B1,noun,total
summary,B1,noun,overview
survey,B1,noun,study
sustain,B1,verb,to maintain
symbol,B1,noun,sign
target,B1,noun,goal
task,B1,noun,job
team,B1,noun,group
technical,B1,adjective,specialized
technique,B1,noun,method
temporary,B1,adjective,short-term
tense,B1,adjective,stressed
theme,B1,noun,subject
tradition,B1,noun,custom
transfer,B1,verb,to move
transform,B1,verb,to change
transition,B1,noun,change
trend,B1,noun,tendency
ultimate,B1,adjective,final
undergo,B1,verb,to experience
uniform,B1,adjective,consistent
unique,B1,adjective,one of a kind
utilise,B1,verb,to use
valid,B1,adjective,acceptable
variable,B1,noun,factor
vary,B1,verb,to change
version,B1,noun,form
via,B1,preposition,through
visible,B1,adjective,able to be seen
vision,B1,noun,sight
visual,B1,adjective,relating to sight
volume,B1,noun,amount
welfare,B1,noun,wellbeing
widespread,B1,adjective,common
abandon,B2,verb,to leave behind
